,Number,Name,Year,Month,Day,Hour,DateTime,Image Name
0,91575,American Goldfinch,2025,1,23,9,2025-01-23 09:06:00,"raw_2025-01-23-09-06-07133(AmericanGoldfinch [(174, 282, 413, 449)]).jpg"
1,94533,American Goldfinch,2025,2,8,14,2025-02-08 14:06:01,"raw_2025-02-08-14-06-19977(AmericanGoldfinch [(19, 421, 277, 625)]).jpg"
2,99781,American Goldfinch,2025,2,27,13,2025-02-27 13:47:04,"raw_2025-02-27-13-47-432082(AmericanGoldfinch [(1, 288, 144, 568)]).jpg"
3,100289,American Robin,2025,3,9,11,2025-03-09 11:08:01,"raw_2025-03-09-11-08-12203(AmericanRobin [(1, 57, 196, 550)]).jpg"
4,100290,American Robin,2025,3,9,11,2025-03-09 11:08:03,"raw_2025-03-09-11-08-31206(AmericanRobin [(4, 81, 465, 489)]).jpg"
5,100311,American Robin,2025,3,9,12,2025-03-09 12:50:03,"raw_2025-03-09-12-50-35340(AmericanRobin [(6, 35, 480, 527)]).jpg"
6,100312,American Robin,2025,3,9,12,2025-03-09 12:50:04,"raw_2025-03-09-12-50-42341(AmericanRobin [(136, 99, 472, 489)]).jpg"
7,100313,American Robin,2025,3,9,12,2025-03-09 12:50:04,"raw_2025-03-09-12-50-46342(AmericanRobin [(59, 34, 472, 543)]).jpg"
8,100314,American Robin,2025,3,9,12,2025-03-09 12:51:00,"raw_2025-03-09-12-51-05344(AmericanRobin [(14, 113, 476, 503)]).jpg"
9,100319,American Robin,2025,3,9,12,2025-03-09 12:53:02,"raw_2025-03-09-12-53-24361(AmericanRobin [(39, 144, 472, 482)]).jpg"
10,100338,American Robin,2025,3,9,13,2025-03-09 13:45:02,"raw_2025-03-09-13-45-26694(AmericanRobin [(1, 117, 480, 513)]).jpg"
11,100344,American Robin,2025,3,9,13,2025-03-09 13:50:03,"raw_2025-03-09-13-50-38803(AmericanRobin [(155, 42, 474, 429)]).jpg"
12,100345,American Robin,2025,3,9,13,2025-03-09 13:50:05,"raw_2025-03-09-13-50-51805(AmericanRobin [(5, 162, 261, 525)]).jpg"
13,100346,American Robin,2025,3,9,13,2025-03-09 13:50:05,"raw_2025-03-09-13-50-59806(AmericanRobin [(4, 166, 344, 486)]).jpg"
14,91788,American Tree Sparrow,2025,1,24,12,2025-01-24 12:15:05,"raw_2025-01-24-12-15-57453(AmericanTreeSparrow [(253, 324, 480, 505)]).jpg"
15,91789,American Tree Sparrow,2025,1,24,12,2025-01-24 12:16:01,"raw_2025-01-24-12-16-10454(AmericanTreeSparrow [(217, 280, 395, 470)]).jpg"
16,91790,American Tree Sparrow,2025,1,24,12,2025-01-24 12:16:03,"raw_2025-01-24-12-16-33457(AmericanTreeSparrow [(14, 299, 310, 435)]).jpg"
17,91791,American Tree Sparrow,2025,1,24,12,2025-01-24 12:17:02,"raw_2025-01-24-12-17-29458(AmericanTreeSparrow [(238, 252, 480, 492)]).jpg"
18,91807,American Tree Sparrow,2025,1,24,12,2025-01-24 12:42:05,"raw_2025-01-24-12-42-54503(AmericanTreeSparrow [(212, 319, 480, 494)]).jpg"
19,91808,American Tree Sparrow,2025,1,24,12,2025-01-24 12:43:00,"raw_2025-01-24-12-43-08505(AmericanTreeSparrow [(170, 262, 451, 503)]).jpg"
20,100138,Black-capped Chickadee,2025,3,3,8,2025-03-03 08:04:03,"raw_2025-03-03-08-04-3523(Black-cappedChickadee [(298, 269, 480, 447)]).jpg"
21,97399,Black-capped Chickadee,2025,2,17,14,2025-02-17 14:12:05,"raw_2025-02-17-14-12-501455(Black-cappedChickadee [(246, 327, 475, 571)]).jpg"
22,97732,Black-capped Chickadee,2025,2,19,9,2025-02-19 09:14:02,"raw_2025-02-19-09-14-26227(Black-cappedChickadee [(1, 315, 268, 531)]).jpg"
23,97370,Black-capped Chickadee,2025,2,17,13,2025-02-17 13:35:00,"raw_2025-02-17-13-35-081039(Black-cappedChickadee [(247, 329, 471, 522)]).jpg"
24,97371,Black-capped Chickadee,2025,2,17,13,2025-02-17 13:37:01,"raw_2025-02-17-13-37-121059(Black-cappedChickadee [(147, 321, 389, 615)]).jpg"
25,93895,Black-capped Chickadee,2025,2,4,16,2025-02-04 16:11:02,"raw_2025-02-04-16-11-252120(Black-cappedChickadee [(193, 326, 470, 568)]).jpg"
26,100231,Black-capped Chickadee,2025,3,7,14,2025-03-07 14:25:05,"raw_2025-03-07-14-25-5963(Black-cappedChickadee [(268, 370, 479, 638)]).jpg"
27,95820,Black-capped Chickadee,2025,2,12,14,2025-02-12 14:39:04,"raw_2025-02-12-14-39-423271(Black-cappedChickadee [(88, 290, 468, 601), (91, 315, 381, 552)]).jpg"
28,93490,Black-capped Chickadee,2025,2,3,11,2025-02-03 11:39:03,"raw_2025-02-03-11-39-35116(Black-cappedChickadee [(252, 337, 473, 509)]).jpg"
29,96855,Black-capped Chickadee,2025,2,15,12,2025-02-15 12:53:01,"raw_2025-02-15-12-53-121671(Black-cappedChickadee [(134, 383, 376, 619)]).jpg"
30,90829,Black-capped Chickadee,2025,1,19,10,2025-01-19 10:12:04,"raw_2025-01-19-10-12-42266(Black-cappedChickadee [(180, 356, 475, 638)]).jpg"
31,93479,Black-capped Chickadee,2025,2,3,9,2025-02-03 09:53:02,"raw_2025-02-03-09-53-2775(Black-cappedChickadee [(1, 300, 249, 519)]).jpg"
32,97754,Black-capped Chickadee,2025,2,19,9,2025-02-19 09:43:05,"raw_2025-02-19-09-43-55464(Black-cappedChickadee [(122, 301, 473, 640)]).jpg"
33,97418,Black-capped Chickadee,2025,2,17,15,2025-02-17 15:43:00,"raw_2025-02-17-15-43-011935(Black-cappedChickadee [(224, 338, 452, 500), (227, 332, 478, 596)]).jpg"
34,97984,Black-capped Chickadee,2025,2,19,16,2025-02-19 16:00:03,"raw_2025-02-19-16-00-322481(Black-cappedChickadee [(202, 309, 442, 524)]).jpg"
